,,,综合得分,国际学生占比,国际教师比例,师生比,每位教员引用率,学术声誉,雇主声誉
28,27,澳大利亚国立大学（ANU),84,98.8,100,44.4,95.4,94.6,79.3
29,27,曼彻斯特大学,84,99.3,94,72.5,58.1,95.2,98
30,30,西北大学,82.8,49.6,30,99.3,87.1,84.4,74.7
31,31,复旦大学,82.6,45.5,93.3,91.5,71.1,84.8,89.1
32,32,加州大学伯克利分校,82.5,55.3,95.4,23.3,99.9,100,100
33,33,京都大学,82.3,22.7,5.4,96,60.3,98.7,97.8
34,34,香港科技大学（HKUST),82.2,89.2,100,64.8,98.2,84.2,60.7
35,35,伦敦国王学院,82,100,99.2,83.4,53.9,88.9,86.2
36,36,首尔国立大学,81.7,8.9,4,83.9,75,98.3,96.5
37,37,墨尔本大学,81.4,99.9,97.1,19.9,89.7,98.9,97.3
38,38,悉尼大学,80.4,100,100,20.9,87.9,96.8,95.4
39,39,香港中文大学,80.3,91.8,100,62.6,83.2,88.8,56.7
40,40,加州大学洛杉矶分校,79.7,26.7,28.9,42.5,90.5,100,99.9
41,41,韩国科学技术研究所,79.1,12,8.5,73.1,98.8,87.5,83.1
42,42,纽约大学（NYU）,78.9,95.6,14.6,96.6,27.7,95.9,98.6
43,43,新南威尔士大学（UNSW）,77.7,99.8,100,15.2,93.5,90.4,94.4
44,44,巴黎科学艺术人文大学,77.6,70.5,57.5,99.9,55.1,75.8,95.9
45,45,浙江大学,77.4,63,98.5,88,69,71.2,91.5
46,46,不列颠哥伦比亚大学,77.1,79,89.1,52.7,46.8,97.6,94.2
47,47,昆士兰大学（UQ）,76.6,100,100,25.4,89.4,88.2,80.2
48,48,加州大学圣地亚哥分校,76.1,61.8,39.2,62.6,78.4,91,61.1
49,49,巴黎理工学院,75.9,98.1,94.3,99.6,91.6,44.8,98.6
50,49,伦敦经济政治学院,75.8,100,100,45,87.8,72.4,99.2
51,50,上海交通大学,75.6,36.3,25,55.2,95.6,83.4,86.7
52,50,慕尼黑工业大学,75.6,91.2,56.9,94.5,27.2,84.5,97.6
53,52,杜克大学,75.2,57.4,na,100,45.4,86.9,81.8
54,53,卡内基梅隆大学,74.6,99.1,34.6,55,99.9,72.7,75
55,53,香港城市大学,74.6,99.9,100,89.7,96.5,59.4,33
56,55,阿姆斯特丹大学,73.8,72.9,88.7,33.6,99.5,83.1,55.6
57,56,东京工业大学,73.5,36.2,13.7,87.6,71.1,74.6,91.1
58,57,代尔夫特理工大学,73.1,85.9,100,41.8,87.8,71.9,87.9
59,58,蒙纳士大学,72.2,100,100,13.9,73.9,88.9,87.2
60,60,布朗大学,71.3,54,78.2,83.2,94.5,58.1,56.3
61,61,华威大学,71.2,99.4,99,52.1,61.4,73.1,90.8
62,62,布里斯托大学,71,83.6,91.3,67.5,50.7,74.7,84.3
63,63,鲁普莱希特-卡尔斯-海德堡大学马克西米利安,70.8,54.7,36.6,99.7,47,80.1,45.7
64,64,路德维希--,70.1,38,49.1,52.7,50,92.8,77.5
65,65,马来亚大学（UM）,69.8,42.6,43.6,76.5,49.6,76.9,91.7
66,66,香港理工大学,69.1,81.3,100,79.2,63.8,67.1,42.9
67,67,德克萨斯大学奥斯汀分校,68.4,15.4,2.1,9.5,96.6,93.6,86.1
68,68,台湾大学,68.2,39.2,7,40.8,58.7,92.3,87.4
69,69,布宜诺斯艾利斯大学,67.9,71.1,52.8,78.2,1.9,90.2,93.4
70,70,鲁汶大学,67.2,41.4,90.3,8.1,96.9,84.4,56.1
71,70,苏黎世大学,67.2,57.8,100,96.6,53.3,59.3,52.8
72,72,索邦大学,67.1,54.2,14.5,37.4,75.4,90.2,47.4
73,73,格拉斯哥大学,66.8,97.9,95.8,59.6,38.7,74.4,74
74,74,高丽大学,66.3,34,4.3,89.5,30.6,77.6,90.4
75,75,大阪大学,66.2,15.1,7.7,79.1,43.4,80.6,80.6
76,75,威斯康星大学麦迪逊分校,66.2,27.5,8.1,69.2,58.4,83.4,52.8
77,77,南安普敦大学,65.7,96.9,97.9,59.8,85.4,51.5,60.1
78,78,罗蒙诺索夫莫斯科国立大学,65.6,87.8,7.3,99.8,5.9,79.5,76.5
79,79,哥本哈根大学,65.5,25.9,91.7,100,27.5,73.5,44.2
80,79,延世大学,65.5,44.1,7.1,89.6,34.4,71.6,92.6
81,81,浦项科技大学,65.4,3,17.6,100,99.7,44.3,64.1
82,82,杜伦大学,65.2,91.5,97.8,35.8,80.6,58.3,88.6
83,82,东北大学,65.2,16.5,3.6,98.4,41.3,71.4,73.8
84,82,伊利诺伊大学香槟分校,65.2,58.1,8,9.8,93.8,86.4,63.5
85,85,奥克兰大学,65,94.3,99.5,23.7,55.1,83.8,57.3
86,85,华盛顿大学,65,38.8,17,12.2,100,85.4,53
87,86,巴黎第十一大学,64.9,46.5,24.7,99.2,46.2,55.5,98.1
88,87,隆德大学,63.8,68.3,92.4,52.6,55.2,70.5,57.2
89,88,乔治亚理工学院(Georgia Tech),63.5,64.1,71.3,6.9,100,67.8,79.4
90,89,皇家理工学院,63.2,62.7,97,69.8,78.2,47.3,64.1
91,90,伯明翰大学,62.9,90,91.6,51.9,47.4,65.5,74.6
92,91,圣安德鲁斯大学,62.8,99.7,99.1,67.6,69.7,46.7,64.7
93,92,利兹大学,62.6,89.4,83.9,44,43.4,70.6,79.5
94,93,西澳大学（UWA）,62.5,99.9,100,20.4,94.9,58.5,58.1
95,94,赖斯大学,62.3,88.5,89.1,78,93.1,40,29.4
96,95,谢菲尔德大学,61.6,98.1,83.7,66.8,44.5,60.4,57.9
97,96,宾夕法尼亚州立大学,61.5,32.6,10,32.5,74.4,75.9,73.2
98,97,成均馆大学,60.5,38.5,7.2,85.4,46.8,61.5,68.8
99,98,中国科学技术大学,60.1,6.4,8.4,83.6,99.9,52.4,14.4
100,99,丹麦技术大学,59.9,76.6,100,100,75,32.1,30
101,100,北卡罗来纳大学教堂山,59.6,11.1,11.8,80.9,53.9,66.3,47.2
102,101,都柏林三一学院,59.5,94.2,99.9,27.7,58.9,68.2,48.9
103,102,奥斯陆大学,59,29,85,85.5,61,55.4,16.3
104,103,诺丁汉大学,58.9,83.6,90.3,43.5,51,59.1,74.2
105,104,赫尔辛基大学,58.5,6.2,56.5,68.5,49.6,67.2,45.8
106,105,墨西哥国立自治大学,58.3,3.5,2.9,49.9,3,94.6,93.2
107,105,日内瓦大学,58.3,97.3,100,47.4,83.7,48.7,24.4
108,107,华盛顿大学在圣路易斯,58,68.6,79,99.9,61,41.3,16.3
109,108,阿德莱德大学,57.9,99.7,100,21.9,90.1,53.3,39.8
110,108,加州大学戴维斯分校,57.9,64.8,76.4,29.7,65.9,66.9,47.2
111,109,阿卜杜勒·阿齐兹国王大学（KAU）,57.7,56.3,99.5,68.9,63.8,41.3,65.7
112,110,乌得勒支大学,57.5,24.4,45.5,37.4,82.2,66.1,34.4
113,111,蒙特利尔大学,57.3,53.2,88.3,74.1,36.1,56.6,52.5
114,112,阿尔托大学,57,37.5,96,47.7,88.4,45.7,45.8
115,112,波士顿大学,57,87.6,14.4,41,63.7,62,58.9
116,112,莱顿大学,57,47.3,78.1,24.1,73.5,69.3,32.3
117,112,南加州大学,57,81.7,23.4,37.1,77.5,56.2,60.9
118,116,普渡大学,56.9,50.6,55.8,14.8,77.6,63.3,74.9
119,117,伦敦大学皇后玛丽学院（QMUL）,56.7,99.5,99.8,51.5,60,50.7,39.4
120,118,名古屋大学,56.2,20.5,5.1,92,37.4,59.2,51.1
121,119,伯尔尼大学,56.1,44,100,67.5,97.6,30.4,35
122,120,俄亥俄州立大学,56,23.2,76.9,58.7,39.3,61.9,64.2
123,121,查尔姆斯理工大学,55.9,72.4,100,70.2,76.1,28.8,62.9
124,121,圣保罗大学,55.9,3,2.4,18.8,42.3,90.1,71.3
125,123,瓦赫宁根大学,55.8,78.5,35.7,97.9,53.4,42.8,24.9
126,124,乌普萨拉大学,55.4,60.4,86.3,38.9,53.4,65.1,33
127,125,埃因霍芬理工大学,55.3,44.1,100,54.3,85.9,29.9,78.9
128,126,阿尔伯塔大学,55.2,81.4,90,48.2,52.7,53.7,47.4
129,127,柏林自由大学,54.9,46.5,50.5,3.5,57.8,80.9,51.8
130,128,柏林洪堡大学,54.8,33,39.8,9.2,33.1,90.3,63.5
131,128,格罗宁根大学,54.8,86.2,92.6,62.2,49.3,51.1,29.1
132,130,里昂高等师范学院,54.6,18.5,51.8,97.2,85.3,32.8,12.4
133,131,南京大学,54.2,9.2,52,30.1,96.4,59.6,17.7
134,132,兰卡斯特大学,54,97.1,94.6,39.2,82.6,41.2,33.2
135,133,悉尼科技大学（UTS）,53.9,95.2,98.6,8.9,86.3,44.4,71.8
136,134,纽卡斯尔大学,53.8,85.8,92.2,43.3,48.2,45.8,80.8
137,135,智利天主教大学,53.6,3.8,6.5,22.4,14,89.6,97.6
138,136,卡尔斯鲁厄理工学院,53.4,67.7,58.9,30.5,74,45.3,78.5
139,137,九州大学,53.3,18.9,4.4,86.2,31,56.1,60.2
140,138,巴塞尔大学,53,86.7,100,49.7,97.2,28.7,25.9
141,140,麦克马斯特大学,52.7,55.3,99.5,86.5,31.4,39.9,51.6
142,141,根特大学,52.6,21.1,61.7,84.8,34.3,54.5,25.8
143,142,米兰理工大学,52.5,55.2,40.9,5.1,59.3,66.1,81
144,143,马来西亚博特拉大学（UPM）,52.2,87,32.9,73.9,20.5,53.6,56.4
145,144,马来西亚国民大学（UKM）,52,28.4,20.5,94.6,9.2,56.7,59.4
146,145,北海道大学,51.4,17.9,8.1,79.2,32.5,54.8,56
147,146,加州大学圣芭芭拉分校,51.2,37.2,44.1,10.7,95.6,57.8,25.3
148,147,马来西亚理科大学（USM）,51,60.6,16,69.6,16,58.9,63
149,148,斯德哥尔摩大学,50.6,63.1,87.5,27.3,65.5,55.6,20.3
150,149,埃克塞特大学,50.5,82.9,94.2,37.3,58.5,41.4,57.5
151,149,滑铁卢大学,50.5,83.8,74.7,7.5,85.7,39.6,79.2
152,151,卡迪夫大学,50.4,79.4,81.6,48.6,44.3,47.2,47.1
153,151,维也纳大学,50.4,89.9,98.8,22.6,17.2,70.2,47.4
154,151,约克大学,50.4,74,91.8,54.4,50.2,43.2,37.2
155,154,罗切斯特大学,50.3,95.3,57,99.8,52.6,25.2,18.9
156,155,奥胡斯大学,50.2,15.8,83.9,32.6,60.1,56,40.2
157,156,汉阳大学,49.8,31.7,8.9,80.1,30.1,45.2,74.3
158,157,密歇根州立大学,49.7,23.6,50.5,13.5,63.3,61,60.7
159,158,马里兰大学，学院公园,49.5,21.9,13.2,43,73.1,51.9,35.9
160,159,柏林工业大学,49.3,80.3,23.6,43.3,30.7,55.7,68.6
161,160,埃默里大学,48.6,38.1,30.5,99.4,66.7,25,17.3
162,161,凯斯西储大学,48.2,74.1,41.3,86.3,75.9,19,21.7
163,161,蒙特雷科技大学,48.2,8.9,73.6,81.5,2.5,45,90.4
164,163,法赫德法国石油和矿物大学（KFUPM）,48.1,16.5,100,85.9,54.5,28.7,25.4
165,163,匹兹堡大学,48.1,14.6,2.6,97.5,43.9,42.3,18.8
166,165,亚琛工业大学,48,75.6,21.9,6.5,60.8,50.2,93.3
167,166,博洛尼亚大学,47.7,10.3,4.7,3.8,51.8,77.5,46.6
168,166,巴斯大学,47.7,89.5,98.7,22.4,63.3,34.8,69.8
169,168,德州农工大学,47.6,15.6,11,6,68.6,61.5,65
170,168,巴塞罗那大学,47.6,32.2,3.9,16.1,51,71.3,36.5
171,170,韦仕敦大学（西安大略大学）,47.5,60.4,99.4,5.5,97.4,30.8,63.9
172,171,萨皮恩扎-罗马大学,47.2,10,1.4,4.2,55.9,76.5,38.4
173,172,弗莱堡大学,47,43.1,48.9,34.1,66.5,49.9,20.8
174,173,都柏林大学,46.9,76,99.2,25.9,42.1,49.6,44.6
175,173,佛罗里达大学,46.9,12.5,6.2,76.4,28.9,49.7,47.9
176,175,哈拉克国立大学,46.8,24.4,13.4,97.2,1.3,45.5,67.7
177,176,洛桑大学,46.6,61.7,99.8,52.4,63.9,32.8,19
178,177,蒂宾根大学,46.4,24,43.8,94.6,16.3,46,22.1
179,177,印度理工学院孟买分校,46.4,1.6,1.5,32.5,55.5,51.3,79.6
180,179,鹿特丹伊拉斯谟大学,46.3,53.7,81.9,35,61.1,35.6,58.2
181,180,国立清华大学,46.1,20.4,7.2,37.8,53,51.2,59.3
182,180,维也纳技术大学,46.1,82.8,70.5,11.5,90.4,32.6,48
183,180,哥德堡大学,46.1,63.1,73.5,71.7,37.2,37.9,21.6
184,183,哈利法大学,46,59.7,100,91.3,65.1,13.7,10.5
185,183,智利大学,46,4.9,2.8,12.2,15.3,76.7,92.3
186,185,印度理工学院德里分校,45.9,1.7,1.2,30.9,70,45.8,70.8
187,186,印度科学研究所班加罗尔,45.7,1.8,1.2,48.8,100,34.2,19.2
188,186,明尼苏达大学,45.7,14.8,2.3,30.6,54.1,61.8,30.1
189,188,法语天主教鲁汶大学,45.6,42,89.8,6.7,66.8,50.8,38
190,189,利物浦大学,45.5,94.9,86.8,44.8,32.2,42.7,37.3
191,189,特温特大学,45.5,89.1,98.8,37.1,79.3,21,42.3
192,191,达特茅斯学院,45.1,32.5,1.7,71.8,90.1,19.5,30.1
193,191,马来西亚工艺大学（UTM）,45.1,68.3,6.5,55.2,39.2,42.4,53.4
194,193,伍伦贡大学,44.9,76.4,90.8,20.1,82.3,30.4,37.5
195,194,科廷大学,44.8,46,100,15.2,84.6,31.2,48.2
196,194,德累斯顿工业大学,44.8,37.1,25.2,86.6,19.5,38,51
197,194,奥塔哥大学,44.8,47.4,100,16,49.5,50.6,39.2
198,197,纽卡斯尔大学,44.6,30.5,100,32.9,80.6,30.8,28.6
199,198,希伯来大学,44.5,9.4,51.8,84.5,36.7,34.9,30.8
200,199,卑尔根大学,44.2,8.5,85.5,78.1,45,34.2,10
201,200,麦考瑞大学,44.1,95.2,98.8,17.3,60.9,33.2,52.8
202,201,庆应义塾大学,43.9,13.2,3.6,62.8,7.1,50.2,87.7
203,202,雷丁大学,43.5,87.7,93.8,23.8,62.9,33.8,34.1
204,203,早稻田大学,43.3,37.2,13.5,29.8,5.2,60.3,94.1
205,204,乔治奥古斯特哥廷根大学,43.2,23.1,33.2,65.1,24.8,50.5,20.1
206,205,阿伯丁大学,43.1,99.2,94.9,31.4,58.4,29.3,35.1
207,206,皇家墨尔本理工大学,42.8,95,100,8.3,51.3,37.1,60.9
208,207,马德里自治大学,42.7,11.7,2.6,40.9,22.7,58.5,56.7
209,207,布鲁塞尔自由大学,42.7,89.4,94.5,5,70.1,33.8,47.8
210,209,巴塞罗那自治大学,42.6,23.2,8,13.6,52.7,60.8,32.3
211,209,阿姆斯特丹自由大学,42.6,30.9,37.5,37.3,67.1,41,17.6
212,211,同济大学,42.5,37.1,70.4,24.5,84.4,35.4,10.4
213,212,蔚山国立科学技术院,42.4,13.1,35.4,76.1,100,9.9,6.5
214,213,昆士兰科技大学（QUT）,42.1,43.3,98.3,8.7,59,42,44.8
215,214,汉堡大学,42,22.3,27.5,20.4,62.3,50.8,24.5
216,215,朱拉隆功大学,41.9,3,2.6,31.9,6.2,67.7,67.4
217,216,亚利桑那州立大学,41.8,39.2,58.4,9.1,63.4,45.3,41.4
218,216,贝尔法斯特女王大学,41.8,97.4,100,42.5,40,30.1,31.7
219,218,范德比尔特大学,41.7,35.9,14.1,100,31.7,25.9,23.1
220,219,金边大学,41.3,3.5,2.6,13,43.4,65.3,34.3
221,220,雷德布德大学奈梅亨,41.1,22.2,44.3,34.3,83.9,30.3,17.9
222,221,布鲁塞尔大学,41,62.7,90.2,82.9,26.4,24,17.2
223,222,圣母大学,40.9,20.3,10.4,66.5,51.1,28,44.8
224,223,马德里康普顿斯大学（UCM）,40.8,20.8,1.3,21.5,11.4,67.8,58.4
225,224,卡塔尔大学,40.7,94.6,100,70.3,28.1,21.6,24.4
226,225,武汉大学,40.4,8.1,26.5,15.4,75.1,39.2,46.8
227,226,波恩大学,40.3,29.3,32.6,56.2,18,51.1,17.7
228,226,开普敦大学,40.3,31.7,50.7,19.9,51.2,44.1,41.7
229,226,苏塞克斯大学,40.3,94.6,97,17.3,78.7,26.2,8.6
230,226,弗吉尼亚大学,40.3,13.9,2.4,60.9,42,36.5,40.9
231,230,渥太华大学,40.2,67.8,90.5,4.9,86.2,25,38.7
232,231,拉夫堡大学,40.1,75.8,83.1,26,39.2,31.3,63.8
233,232,加州大学欧文分校,40,74.9,51.3,11.6,62.9,41.5,20.3
234,233,马斯特里赫特大学,39.8,100,98.8,18.4,71.8,21.9,28.6
235,233,安特卫普大学,39.8,37,77.4,65.1,52.3,23.1,11.7
236,235,卡尔加里大学,39.7,56.3,79,25.4,46.8,34.8,44.2
237,236,哈尔滨工业大学,39.6,8.5,2.8,48.2,93.3,24.1,9.6
238,236,洛斯安第斯哥伦比亚大学,39.6,1.6,11,22.3,6.4,58.8,95.2
239,236,莱斯特大学,39.6,91.5,80.6,44.6,53,23.4,19
240,236,惠灵顿维多利亚大学,39.6,52.4,99.8,11,37.5,46.7,34.5
241,240,女王大学,39.5,33.7,63.6,6.9,56.2,37,70.4
242,240,提契诺大学,39.5,100,100,86.6,47.4,5.2,4.8
243,242,贝鲁特美国大学（AUB）,39.2,56.7,78.6,62,16.9,27.7,54.2
244,242,圣彼得堡州立大学,39.2,49.4,2,77.3,6.7,42.8,25.2
245,242,帕多瓦大学（UNIPD）,39.2,6.4,3.3,9.9,55.8,55.7,30.9
246,245,国立路桥学校,39.1,98.4,15.7,95.9,29.8,8.6,46.8
247,246,新西伯利亚州立大学,38.8,57.9,2.3,92.9,19.5,28.9,16.2
248,246,马萨诸塞大学，阿默斯特,38.8,26.6,37.6,14.8,70.1,41.4,18.7
249,248,乔治城大学,38.7,51.5,5.6,65.5,24.2,32.4,47.6
250,248,庞培法布拉大学,38.7,23.5,57.8,10.8,87.2,30.8,25.8
251,250,文莱达鲁萨兰国大学,38.6,65.6,100,96.8,7.6,20,12.3
252,251,科罗拉多大学博尔德分校,38.5,9.1,7.7,36.9,68.8,36.8,16.2
253,252,国立成功大学,38.4,24.2,7.2,39.4,25.2,43.9,61.9
254,252,耶什华大学,38.4,14.1,na,93.4,86.9,2.6,4.1
255,254,加札马达大学,38.3,2.3,21.3,65.4,1.5,47.8,44.4
256,255,印度理工学院马德拉斯分校,38.1,1.6,1.2,32.3,60.2,36.1,48.3
257,255,玛希隆大学,38.1,5.4,2.3,75.4,5.6,42,46
258,255,特拉维夫大学,38.1,6.4,15.1,5,99.8,33.1,26.9
259,258,坎特伯雷大学,37.7,51.4,99.6,9.7,41.1,39.2,41
260,258,爱尔兰国立高威大学,37.6,58.7,90.6,69.2,12.8,26.3,30.3
261,258,哥伦比亚国立大学,37.6,1.4,2.4,7.5,3.8,63.9,94.2
262,260,中山大学,37.4,5.9,2.2,61.9,36.2,36.2,27.5
263,261,巴黎政治学院,37.3,99.2,37,91.5,4.1,20.2,31.5
264,261,巴黎大学,37.3,33.3,6.6,15.5,79.2,38.6,7.5
265,264,庆熙大学,37.2,51.9,4.2,85.5,15.2,26.4,34.9
266,264,罗格斯大学-新泽西州立大学新不伦瑞克分校,37.2,41.5,9.4,53.5,22.4,39.2,36.8
267,266,布拉格查理大学,37.1,49.2,8.6,49.9,11.4,45.7,35.5
268,266,纳瓦拉大学,37.1,72.6,9.9,56.3,17.2,28.9,65.7
269,268,国立阳明交通大学,36.9,12.6,7.1,46.8,34.1,32.6,64.9
270,268,亚利桑那大学,36.9,14.3,9,61.4,22.4,41.3,23.1
271,269,达姆施塔特技术大学,36.9,70.8,40.7,5.8,83.6,20.1,52.1
272,270,北京师范大学,36.7,26.7,4.2,29.7,64.1,38.5,8.4
273,270,赫里瓦特大学,36.7,95.2,100,23.6,64.8,15.3,30.2
274,272,戴尔豪斯大学,36.6,81.3,100,16.9,70.3,18.7,24.4
275,272,托木斯克州立大学,36.6,93.8,9.5,99.8,5.9,22.6,11
276,272,萨里大学,36.6,94.3,98.3,19.9,55.6,22.3,28.4
277,275,南方科技大学,36.5,2.1,29.7,98.5,61,6.8,1.7
278,275,塔夫茨大学,36.5,35.7,17.8,73.9,50.7,19.6,8.6
279,277,格拉茨大学,36.4,57.5,68,98.3,19.4,14,8.2
280,277,印度理工学院坎普尔分校,36.4,1.2,1.3,18.3,81.6,30.1,41.1
281,277,沙特国王大学（KSU）,36.4,17,96.3,58.8,23.6,32,13.3
282,280,印度理工学院克勒格布尔分校,36.3,1.1,1.5,16.7,88,28,38.8
283,281,鲍曼莫斯科国立技术大学,36.2,20.5,7,100,1.3,23.9,48.7
284,281,因斯布鲁克大学,36.2,99.8,100,71,14.1,20.4,8.9
285,283,迪肯大学,36.1,72.4,98.7,4.4,57.1,28.1,38
286,284,梅西大学,35.9,99.2,99.1,33.6,23.7,29.9,24.4
287,285,伊利诺伊大学芝加哥分校,35.6,20,3.4,37.8,30.4,43.5,32.1
288,285,筑波大学,35.6,28.4,5.6,68.5,21.4,35.2,17.1
289,287,香港浸会大学,35.5,99.6,96.2,44.3,39.5,18.5,13.8
290,288,阿联酋大学,35.4,40.1,100,67.5,9.7,25.2,27.7
291,290,格里菲斯大学,35.1,41.6,99.8,9.4,64.2,27.8,20.1
292,290,物理莫斯科与技术研究所州立大学,35.1,47.1,16.6,97.9,15.1,17.8,20.6
293,290,印度尼西亚大学,35.1,3.5,74.7,39.1,1.8,44.1,51.8
294,290,巴黎第一大学,35.1,52.9,21.4,5.3,3.1,62.8,44.5
295,290,西安交通大学,35.1,5.6,2.5,25.4,80.2,23.1,41.7
296,295,白俄罗斯州立大学,34.9,43,1.4,98,1.4,21.5,40.2
297,295,波尔图大学,34.9,24.1,2.1,14.6,61.7,38.6,27.7
298,295,图尔库大学,34.9,5.1,11.8,61.1,38.5,27.8,28.5
299,298,西蒙弗雷泽大学,34.8,89.8,94.2,5.3,61.7,24.7,22.1
300,298,考克大学,34.8,46.9,95.4,44,21.8,27.6,33.5
301,300,北卡罗来纳州立大学,34.7,16.5,51.5,14.3,68.7,30.4,23.8
302,300,塔尔图大学,34.7,24.9,17.5,88.3,15.2,26,13.5
303,302,斯特拉斯克莱德大学,34.4,78.3,93.3,20.4,31.7,26.6,46.3
304,303,万隆理工学院,34.2,3.4,17.7,57.8,2.7,41.2,44
305,303,斯马尼亚大学,34.2,98.4,68.1,18.7,69.4,17.8,9.7
306,305,光州科技学院（GIST）,34.1,7.6,5.7,36.4,100,13.4,6.1
307,305,俄罗斯国家研究型高等经济大学（HSE）,34.1,16.5,2.3,94.1,1.9,27.4,28.1
308,307,东英吉利大学（UEA）,34,59.9,59.1,19.5,75,19.7,10.9
309,308,华沙大学,33.9,10,2.7,39.6,6.2,46.5,53.9
310,309,雅盖隆大学,33.8,11.7,1.7,60.8,6.1,37.6,45.8
311,309,丹麦南部大学,33.8,28.2,77.8,39.4,51.6,19.5,23.8
312,311,印第安纳大学伯明顿分校,33.7,12.4,26.5,33,35.2,37.8,28.1
313,311,科隆大学,33.7,33.3,46.6,28.6,26.7,37.8,33.9
314,311,迈阿密大学,33.7,36,16.5,62.5,29.3,24.2,28.9
315,314,台湾科技大学,33.6,40.3,13.8,56.1,31.7,25.8,28.9
316,314,格勒诺布尔阿尔卑斯大学（UGA）,33.6,38.8,11.5,9.5,50.3,44.4,12.2
317,316,米兰大学,33.5,7.7,2.9,6.2,49.9,49.7,17.4
318,317,IE大学,33.4,100,94,76.4,2.7,7.3,48
319,317,俄罗斯人民友谊大学,33.4,93.2,3.5,91.7,1.6,17,29.3
320,319,国立核研究院“MEPhI”,33.1,89.2,37.2,99,10,9.4,11
321,319,加泰罗尼亚理工大学,33.1,26.9,4.2,53.5,22.9,33.1,28.8
322,321,斯温本科技大学,33,85.1,98.6,15.3,65.9,13.9,19
323,322,邓迪大学,32.9,64.6,97,47,29.4,19.4,15.9
324,322,埃尔朗根-纽伦堡大学,32.9,26.4,10.2,2.2,99.3,22.8,15.4
325,322,阿根廷天主教大学（UCA）,32.9,7.4,1.2,99.6,1.1,18.9,45.8
326,322,澳门大学,32.9,97.1,100,18.7,70.8,10.7,6.8
327,326,奥尔堡大学,32.8,29.3,64.9,42.4,41.3,19.9,32.6
328,326,南澳大学（UniSA）,32.8,70.4,100,20.6,45.6,23.1,16.7
329,328,法律公告古美利诺夫欧洲国立大学,32.7,7.3,21.9,98.6,1.3,21,27.2
330,329,林雪平大学,32.5,26.5,53.6,29.8,57.8,20.1,27.9
331,330,伦敦大学城市学院,32.4,99.9,97,10.2,49.6,20.4,23.4
332,330,以色列理工学院,32.4,4.2,61.7,27.4,51,26.2,28.4
333,332,伦敦的伯克贝克学院，大学,32.3,98.2,98.7,15.1,69.8,12.5,3.6
334,332,泰勒大学,32.3,94.8,36.5,48.6,4.8,18.9,73.4
335,334,华中科技大学,32.2,5,2,13.2,86.6,21.2,32.6
336,334,台湾师范大学,32.2,28.3,4.1,73.2,7.7,32.1,14.2
337,334,都灵理工大学,32.2,40.5,1.5,2.6,52.4,34.7,50.4
338,334,伦敦皇家霍洛威大学,32.2,93.6,96.5,20.1,52.2,17.7,10
339,334,天津大学,32.2,12.3,3.4,27,88,19.6,4.6
340,334,维多利亚大学,32.2,76.3,92.9,3.3,74.9,17.3,10.2
341,340,法兰克福大学,32.1,30.5,na,22.4,19,46.8,34.5
342,340,夏威夷大学马诺亚分校,32.1,17.2,40.9,54.1,51.8,16.2,13.7
343,342,东北大学,31.9,94.9,68.2,22.7,46.7,20.7,14.9
344,343,广岛大学,31.8,17.8,4.2,89.9,11.9,22.5,12.5
345,344,文莱理工大学,31.7,9,99.7,93.4,7.4,12.6,9.3
