dataset_id,seed,selected_base_model,true_nonmonotone,pred_nonmonotone,nonmonotone_precision,nonmonotone_recall,nonmonotone_f1,true_interactions,pred_interactions,interaction_precision,interaction_recall,interaction_f1,false_complexity_count
synthetic_mixed_structure,19,M5_full_flexible,g1,g1,1.0,1.0,1.0,g2:g5;g3:g6,g2:g5;g3:g6,1.0,1.0,1.0,0
synthetic_monotone_additive,0,M1_linear_additive,,,1.0,1.0,1.0,,,1.0,1.0,1.0,0
synthetic_monotone_additive,1,M1_linear_additive,,,1.0,1.0,1.0,,,1.0,1.0,1.0,0
synthetic_monotone_additive,2,M1_linear_additive,,,1.0,1.0,1.0,,,1.0,1.0,1.0,0
synthetic_monotone_additive,3,M1_linear_additive,,,1.0,1.0,1.0,,,1.0,1.0,1.0,0
synthetic_monotone_additive,4,M1_linear_additive,,,1.0,1.0,1.0,,,1.0,1.0,1.0,0
synthetic_monotone_additive,5,M1_linear_additive,,,1.0,1.0,1.0,,,1.0,1.0,1.0,0
synthetic_monotone_additive,6,M1_linear_additive,,,1.0,1.0,1.0,,,1.0,1.0,1.0,0
synthetic_monotone_additive,7,M1_linear_additive,,,1.0,1.0,1.0,,,1.0,1.0,1.0,0
synthetic_monotone_additive,8,M1_linear_additive,,,1.0,1.0,1.0,,,1.0,1.0,1.0,0
synthetic_monotone_additive,9,M1_linear_additive,,,1.0,1.0,1.0,,,1.0,1.0,1.0,0
synthetic_monotone_additive,10,M1_linear_additive,,,1.0,1.0,1.0,,,1.0,1.0,1.0,0
synthetic_monotone_additive,11,M1_linear_additive,,,1.0,1.0,1.0,,,1.0,1.0,1.0,0
synthetic_monotone_additive,12,M1_linear_additive,,,1.0,1.0,1.0,,,1.0,1.0,1.0,0
synthetic_monotone_additive,13,M1_linear_additive,,,1.0,1.0,1.0,,,1.0,1.0,1.0,0
synthetic_monotone_additive,14,M1_linear_additive,,,1.0,1.0,1.0,,,1.0,1.0,1.0,0
synthetic_monotone_additive,15,M1_linear_additive,,,1.0,1.0,1.0,,,1.0,1.0,1.0,0
synthetic_monotone_additive,16,M1_linear_additive,,,1.0,1.0,1.0,,,1.0,1.0,1.0,0
synthetic_monotone_additive,17,M1_linear_additive,,,1.0,1.0,1.0,,,1.0,1.0,1.0,0
synthetic_monotone_additive,18,M1_linear_additive,,,1.0,1.0,1.0,,,1.0,1.0,1.0,0
synthetic_monotone_additive,19,M1_linear_additive,,,1.0,1.0,1.0,,,1.0,1.0,1.0,0
synthetic_nonmonotone_marginals,0,M3_nonmonotone_additive,g1;g2,g1;g2,1.0,1.0,1.0,,,1.0,1.0,1.0,0
synthetic_nonmonotone_marginals,1,M3_nonmonotone_additive,g1;g2,g1;g2,1.0,1.0,1.0,,,1.0,1.0,1.0,0
synthetic_nonmonotone_marginals,2,M3_nonmonotone_additive,g1;g2,g1;g2,1.0,1.0,1.0,,,1.0,1.0,1.0,0
synthetic_nonmonotone_marginals,3,M3_nonmonotone_additive,g1;g2,g1;g2,1.0,1.0,1.0,,,1.0,1.0,1.0,0
synthetic_nonmonotone_marginals,4,M3_nonmonotone_additive,g1;g2,g1;g2,1.0,1.0,1.0,,,1.0,1.0,1.0,0
synthetic_nonmonotone_marginals,5,M3_nonmonotone_additive,g1;g2,g1;g2,1.0,1.0,1.0,,,1.0,1.0,1.0,0
synthetic_nonmonotone_marginals,6,M3_nonmonotone_additive,g1;g2,g1;g2,1.0,1.0,1.0,,,1.0,1.0,1.0,0
synthetic_nonmonotone_marginals,7,M3_nonmonotone_additive,g1;g2,g1;g2,1.0,1.0,1.0,,,1.0,1.0,1.0,0
synthetic_nonmonotone_marginals,8,M3_nonmonotone_additive,g1;g2,g1;g2,1.0,1.0,1.0,,,1.0,1.0,1.0,0
synthetic_nonmonotone_marginals,9,M3_nonmonotone_additive,g1;g2,g1;g2,1.0,1.0,1.0,,,1.0,1.0,1.0,0
synthetic_nonmonotone_marginals,10,M3_nonmonotone_additive,g1;g2,g1;g2,1.0,1.0,1.0,,,1.0,1.0,1.0,0
synthetic_nonmonotone_marginals,11,M3_nonmonotone_additive,g1;g2,g1;g2,1.0,1.0,1.0,,,1.0,1.0,1.0,0
synthetic_nonmonotone_marginals,12,M3_nonmonotone_additive,g1;g2,g1;g2,1.0,1.0,1.0,,,1.0,1.0,1.0,0
synthetic_nonmonotone_marginals,13,M3_nonmonotone_additive,g1;g2,g1;g2,1.0,1.0,1.0,,,1.0,1.0,1.0,0
synthetic_nonmonotone_marginals,14,M3_nonmonotone_additive,g1;g2,g1;g2,1.0,1.0,1.0,,,1.0,1.0,1.0,0
synthetic_nonmonotone_marginals,15,M3_nonmonotone_additive,g1;g2,g1;g2,1.0,1.0,1.0,,,1.0,1.0,1.0,0
synthetic_nonmonotone_marginals,16,M3_nonmonotone_additive,g1;g2,g1;g2,1.0,1.0,1.0,,,1.0,1.0,1.0,0
synthetic_nonmonotone_marginals,17,M3_nonmonotone_additive,g1;g2,g1;g2,1.0,1.0,1.0,,,1.0,1.0,1.0,0
synthetic_nonmonotone_marginals,18,M3_nonmonotone_additive,g1;g2,g1;g2,1.0,1.0,1.0,,,1.0,1.0,1.0,0
synthetic_nonmonotone_marginals,19,M3_nonmonotone_additive,g1;g2,g1;g2,1.0,1.0,1.0,,,1.0,1.0,1.0,0
synthetic_sparse_interactions,0,M1_linear_additive,,,1.0,1.0,1.0,g1:g2;g3:g4,,0.0,0.0,0.0,0
synthetic_sparse_interactions,1,M1_linear_additive,,,1.0,1.0,1.0,g1:g2;g3:g4,,0.0,0.0,0.0,0
synthetic_sparse_interactions,2,M1_linear_additive,,,1.0,1.0,1.0,g1:g2;g3:g4,,0.0,0.0,0.0,0
synthetic_sparse_interactions,3,M4_sparse_interaction,,,1.0,1.0,1.0,g1:g2;g3:g4,g1:g2;g3:g4,1.0,1.0,1.0,0
synthetic_sparse_interactions,4,M4_sparse_interaction,,,1.0,1.0,1.0,g1:g2;g3:g4,g1:g2;g3:g4,1.0,1.0,1.0,0
synthetic_sparse_interactions,5,M4_sparse_interaction,,,1.0,1.0,1.0,g1:g2;g3:g4,g1:g2,1.0,0.5,0.6666666666666666,0
synthetic_sparse_interactions,6,M4_sparse_interaction,,,1.0,1.0,1.0,g1:g2;g3:g4,g1:g2;g3:g4,1.0,1.0,1.0,0
synthetic_sparse_interactions,7,M4_sparse_interaction,,,1.0,1.0,1.0,g1:g2;g3:g4,g1:g2;g3:g4,1.0,1.0,1.0,0
synthetic_sparse_interactions,8,M1_linear_additive,,,1.0,1.0,1.0,g1:g2;g3:g4,,0.0,0.0,0.0,0
synthetic_sparse_interactions,9,M1_linear_additive,,,1.0,1.0,1.0,g1:g2;g3:g4,,0.0,0.0,0.0,0
synthetic_sparse_interactions,10,M4_sparse_interaction,,,1.0,1.0,1.0,g1:g2;g3:g4,g1:g2;g3:g4,1.0,1.0,1.0,0
synthetic_sparse_interactions,11,M1_linear_additive,,,1.0,1.0,1.0,g1:g2;g3:g4,,0.0,0.0,0.0,0
synthetic_sparse_interactions,12,M1_linear_additive,,,1.0,1.0,1.0,g1:g2;g3:g4,,0.0,0.0,0.0,0
synthetic_sparse_interactions,13,M4_sparse_interaction,,,1.0,1.0,1.0,g1:g2;g3:g4,g1:g2;g3:g4,1.0,1.0,1.0,0
synthetic_sparse_interactions,14,M4_sparse_interaction,,,1.0,1.0,1.0,g1:g2;g3:g4,g1:g2;g3:g4,1.0,1.0,1.0,0
synthetic_sparse_interactions,15,M1_linear_additive,,,1.0,1.0,1.0,g1:g2;g3:g4,,0.0,0.0,0.0,0
synthetic_sparse_interactions,16,M4_sparse_interaction,,,1.0,1.0,1.0,g1:g2;g3:g4,g1:g2;g3:g4,1.0,1.0,1.0,0
synthetic_sparse_interactions,17,M1_linear_additive,,,1.0,1.0,1.0,g1:g2;g3:g4,,0.0,0.0,0.0,0
synthetic_sparse_interactions,18,M1_linear_additive,,,1.0,1.0,1.0,g1:g2;g3:g4,,0.0,0.0,0.0,0
synthetic_sparse_interactions,19,M1_linear_additive,,,1.0,1.0,1.0,g1:g2;g3:g4,,0.0,0.0,0.0,0
