alternative_id,dataset_id,course_id,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,original_grade,class_index,class_label
STUDENT17,higher_education_students_performance,1,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,0.75,0.0,0.25,0.5,0.25,0.5,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.5,1.0,1.0,0.75,0.6666666666666666,1,2,Cl2
STUDENT18,higher_education_students_performance,1,0.5,1.0,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.2,0.2,0.25,0.0,0.25,0.0,0.25,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,0.25,0.3333333333333333,2,3,Cl3
STUDENT19,higher_education_students_performance,1,0.0,0.0,0.5,0.75,1.0,1.0,1.0,0.5,0.0,0.0,0.2,0.2,1.0,0.0,0.25,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.6666666666666666,2,3,Cl3
STUDENT20,higher_education_students_performance,1,0.0,1.0,0.0,0.5,1.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.4,0.4,0.5,0.0,0.25,0.75,0.75,0.5,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.5,1.0,0.25,0.6666666666666666,3,4,Cl4
STUDENT21,higher_education_students_performance,1,0.0,1.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.4,0.4,0.5,0.5,0.25,0.5,0.75,0.5,0.5,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.5,1.0,0.75,1.0,1,2,Cl2
STUDENT22,higher_education_students_performance,1,0.0,1.0,0.5,1.0,1.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.2,0.2,0.75,0.0,0.25,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.6666666666666666,1,2,Cl2
STUDENT23,higher_education_students_performance,1,0.5,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.25,0.75,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.5,1.0,0.5,0.6666666666666666,3,4,Cl4
STUDENT24,higher_education_students_performance,1,1.0,1.0,0.5,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6,0.5,0.0,0.25,0.0,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,1.0,1.0,0.5,0.6666666666666666,1,2,Cl2
STUDENT25,higher_education_students_performance,1,0.5,1.0,0.5,0.5,1.0,1.0,1.0,0.25,0.0,0.0,0.4,0.0,0.5,0.0,0.25,0.75,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.75,1.0,2,3,Cl3
STUDENT26,higher_education_students_performance,1,0.5,1.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6,0.5,0.0,0.25,0.75,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.0,0.3333333333333333,3,4,Cl4
STUDENT27,higher_education_students_performance,1,0.5,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.75,0.0,0.25,0.75,0.25,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.25,0.0,1,2,Cl2
STUDENT28,higher_education_students_performance,1,0.0,1.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.5,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,0.25,0.0,1,2,Cl2
STUDENT29,higher_education_students_performance,1,1.0,1.0,0.5,0.5,1.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.2,0.2,0.75,0.0,0.25,0.0,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,3,4,Cl4
STUDENT30,higher_education_students_performance,1,0.5,1.0,1.0,0.75,1.0,1.0,1.0,0.0,1.0,0.3333333333333333,0.4,0.4,0.25,0.0,0.75,0.0,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.75,0.6666666666666666,5,6,Cl6
STUDENT31,higher_education_students_performance,1,0.5,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.25,0.75,0.25,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.5,1.0,1.0,1.0,1.0,1.0,5,6,Cl6
STUDENT32,higher_education_students_performance,1,1.0,1.0,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.2,0.75,0.0,0.25,0.5,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,0.75,0.6666666666666666,3,4,Cl4
STUDENT33,higher_education_students_performance,1,0.5,0.0,0.5,0.5,1.0,1.0,1.0,0.25,0.0,0.0,0.2,0.2,0.25,0.0,0.25,0.0,0.25,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,0.0,0.25,0.6666666666666666,1,2,Cl2
STUDENT34,higher_education_students_performance,1,0.5,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.25,0.5,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.25,0.6666666666666666,2,3,Cl3
STUDENT35,higher_education_students_performance,1,0.0,1.0,0.0,0.5,1.0,1.0,0.0,0.25,0.0,0.0,0.4,0.4,0.5,0.0,0.25,0.75,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,1.0,0.0,0.75,0.0,2,3,Cl3
STUDENT36,higher_education_students_performance,1,0.0,1.0,0.0,0.75,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.2,1.0,0.0,0.25,0.5,0.25,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1,2,Cl2
STUDENT37,higher_education_students_performance,1,0.5,1.0,1.0,0.75,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.5,0.75,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.75,0.6666666666666666,2,3,Cl3
STUDENT38,higher_education_students_performance,1,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.25,0.3333333333333333,0.6666666666666666,0.4,0.4,0.0,0.0,0.25,0.5,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,1,2,Cl2
STUDENT39,higher_education_students_performance,1,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.25,0.75,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.75,0.6666666666666666,2,3,Cl3
STUDENT40,higher_education_students_performance,1,0.5,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.4,0.0,0.0,0.25,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,0.25,0.0,1,2,Cl2
STUDENT41,higher_education_students_performance,1,0.0,1.0,0.0,0.5,1.0,1.0,1.0,0.25,0.0,0.0,0.2,0.4,0.0,0.0,0.25,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.25,0.6666666666666666,1,2,Cl2
STUDENT42,higher_education_students_performance,1,1.0,1.0,0.5,0.5,0.0,1.0,1.0,0.25,0.0,0.3333333333333333,0.0,0.6,0.25,0.0,0.25,0.25,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.75,0.6666666666666666,1,2,Cl2
STUDENT43,higher_education_students_performance,1,0.5,1.0,0.5,0.5,1.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.6,0.6,0.25,0.0,0.5,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.25,0.6666666666666666,1,2,Cl2
STUDENT44,higher_education_students_performance,1,0.0,1.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.4,0.5,0.0,0.25,0.0,0.25,0.5,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.3333333333333333,4,5,Cl5
STUDENT45,higher_education_students_performance,1,0.5,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.25,0.0,0.25,1.0,0.25,0.5,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.5,0.0,0.75,0.6666666666666666,1,2,Cl2
STUDENT46,higher_education_students_performance,1,0.0,1.0,0.5,0.5,1.0,1.0,0.0,0.75,0.0,0.0,0.2,0.4,1.0,0.0,0.25,0.75,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.75,0.6666666666666666,3,4,Cl4
STUDENT47,higher_education_students_performance,1,0.5,1.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.0,0.25,1.0,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.75,0.3333333333333333,5,6,Cl6
STUDENT48,higher_education_students_performance,1,0.5,1.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.6,0.4,0.0,0.0,1.0,0.75,0.25,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,0.5,1.0,0.6666666666666666,3,4,Cl4
STUDENT49,higher_education_students_performance,1,0.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4,0.4,0.5,0.0,0.25,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.5,0.25,0.3333333333333333,1,2,Cl2
STUDENT50,higher_education_students_performance,1,0.0,1.0,0.0,0.75,1.0,1.0,1.0,0.25,1.0,0.0,0.2,0.4,0.25,0.0,0.25,0.75,0.25,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.3333333333333333,2,3,Cl3
STUDENT51,higher_education_students_performance,1,0.5,1.0,0.5,0.5,1.0,1.0,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.25,0.0,0.25,0.5,0.25,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,1.0,0.5,0.6666666666666666,1,2,Cl2
STUDENT52,higher_education_students_performance,1,0.5,0.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.25,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.5,1.0,1.0,0.0,0.5,0.6666666666666666,4,5,Cl5
STUDENT53,higher_education_students_performance,1,0.5,0.0,0.5,0.5,0.0,1.0,1.0,0.25,0.0,0.0,0.0,0.4,0.75,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.75,0.3333333333333333,1,2,Cl2
STUDENT54,higher_education_students_performance,1,0.5,0.0,0.5,0.5,1.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.3333333333333333,5,6,Cl6
STUDENT55,higher_education_students_performance,1,0.5,1.0,0.5,0.5,1.0,1.0,1.0,0.5,1.0,0.3333333333333333,0.0,0.6,0.25,0.0,0.75,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,1.0,0.6666666666666666,3,4,Cl4
STUDENT56,higher_education_students_performance,1,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.75,0.0,0.3333333333333333,0.0,0.0,1.0,1.0,0.25,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3,4,Cl4
STUDENT57,higher_education_students_performance,1,0.5,1.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.25,0.75,0.75,0.5,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,5,6,Cl6
STUDENT58,higher_education_students_performance,1,0.5,1.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.2,0.5,0.0,0.5,0.5,0.25,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,1.0,1.0,4,5,Cl5
STUDENT59,higher_education_students_performance,1,1.0,1.0,0.5,0.5,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.4,1.0,0.5,0.25,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,1.0,1.0,3,4,Cl4
STUDENT60,higher_education_students_performance,1,0.5,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.5,0.0,0.25,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.75,0.6666666666666666,5,6,Cl6
STUDENT61,higher_education_students_performance,1,0.5,0.0,0.5,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,0.5,0.0,0.25,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.25,0.0,2,3,Cl3
STUDENT62,higher_education_students_performance,1,0.0,1.0,1.0,0.5,1.0,0.0,1.0,0.25,0.0,0.3333333333333333,0.0,0.4,0.75,0.0,0.25,0.5,0.5,0.0,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.75,1.0,5,6,Cl6
STUDENT63,higher_education_students_performance,1,0.5,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,0.3333333333333333,0.2,0.4,0.25,0.0,0.25,0.75,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.5,1.0,1.0,3,4,Cl4
STUDENT64,higher_education_students_performance,1,0.5,1.0,0.5,0.75,1.0,1.0,0.0,0.25,0.0,0.0,0.0,0.4,0.5,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.6666666666666666,5,6,Cl6
STUDENT65,higher_education_students_performance,1,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.2,0.2,0.25,0.0,0.25,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.5,0.0,1.0,0.5,1.0,0.0,0.75,0.6666666666666666,3,4,Cl4
STUDENT66,higher_education_students_performance,1,0.0,1.0,0.5,0.5,1.0,1.0,0.0,0.5,0.0,0.0,0.2,0.6,0.5,0.0,0.25,0.75,0.0,0.0,0.5,0.0,1.0,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.25,0.3333333333333333,2,3,Cl3
STUDENT67,higher_education_students_performance,2,0.5,1.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.2,1.0,0.0,0.25,1.0,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1.0,1.0,1.0,5,6,Cl6
STUDENT68,higher_education_students_performance,2,0.5,1.0,1.0,0.5,0.0,0.0,1.0,0.5,0.0,0.3333333333333333,0.4,0.6,0.75,0.5,0.25,0.25,0.25,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.5,0.25,0.6666666666666666,1,2,Cl2
STUDENT69,higher_education_students_performance,3,0.5,0.0,0.5,0.75,0.0,1.0,1.0,0.0,0.0,0.0,0.2,0.4,1.0,1.0,0.25,1.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.5,0.5,1.0,0.5,0.75,0.6666666666666666,5,6,Cl6
STUDENT70,higher_education_students_performance,3,0.5,0.0,0.5,0.75,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.25,0.0,0.25,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.5,1.0,0.0,0.5,0.3333333333333333,5,6,Cl6
STUDENT71,higher_education_students_performance,3,0.0,1.0,0.5,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.5,0.75,0.25,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,1.0,1.0,7,8,Cl8
STUDENT72,higher_education_students_performance,3,0.0,0.0,1.0,0.75,1.0,1.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.4,1.0,0.0,0.25,0.75,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,0.25,0.3333333333333333,6,7,Cl7
STUDENT73,higher_education_students_performance,3,0.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.25,0.0,0.25,0.5,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.5,0.6666666666666666,6,7,Cl7
STUDENT74,higher_education_students_performance,3,0.5,1.0,0.5,0.75,1.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.4,0.75,0.0,0.25,0.75,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.0,1.0,0.6666666666666666,6,7,Cl7
STUDENT75,higher_education_students_performance,3,0.0,1.0,0.5,0.75,1.0,1.0,1.0,0.0,0.0,0.0,0.2,0.2,0.5,0.0,0.25,0.0,0.25,0.5,0.5,1.0,0.0,0.0,0.5,0.0,1.0,0.5,1.0,0.5,0.5,0.6666666666666666,7,8,Cl8
STUDENT76,higher_education_students_performance,3,0.0,1.0,0.5,0.75,1.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.8,0.75,0.0,0.25,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.75,0.0,7,8,Cl8
STUDENT77,higher_education_students_performance,4,0.5,1.0,0.0,0.25,1.0,0.0,1.0,0.25,0.0,0.0,0.8,0.6,0.5,0.0,0.75,0.5,0.25,1.0,0.5,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.5,1.0,0.25,0.3333333333333333,4,5,Cl5
STUDENT78,higher_education_students_performance,4,0.0,1.0,0.0,0.25,1.0,1.0,0.0,0.25,0.3333333333333333,0.3333333333333333,1.0,0.8,0.25,0.0,0.75,0.25,0.25,0.5,0.5,1.0,0.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,7,8,Cl8
STUDENT79,higher_education_students_performance,4,0.5,0.0,0.5,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.75,0.0,0.25,0.75,0.25,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5,0.5,0.25,0.3333333333333333,4,5,Cl5
STUDENT80,higher_education_students_performance,4,0.5,1.0,0.5,0.75,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.75,0.0,0.25,0.75,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.75,1.0,3,4,Cl4
STUDENT81,higher_education_students_performance,5,0.5,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.25,0.0,0.25,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.5,0.75,0.3333333333333333,4,5,Cl5
STUDENT82,higher_education_students_performance,5,1.0,1.0,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.2,0.75,0.0,0.25,0.5,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0,3,4,Cl4
STUDENT83,higher_education_students_performance,5,0.5,1.0,0.5,0.75,0.0,1.0,0.0,0.25,0.0,0.0,0.4,0.0,0.5,0.0,0.25,0.5,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,0.75,0.6666666666666666,7,8,Cl8
STUDENT84,higher_education_students_performance,5,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.0,0.0,0.6,0.6,0.25,0.0,0.0,0.25,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.5,1.0,1.0,0.0,0.3333333333333333,7,8,Cl8
STUDENT85,higher_education_students_performance,5,1.0,1.0,1.0,0.5,0.0,1.0,0.0,0.5,0.0,0.3333333333333333,0.6,0.2,1.0,1.0,0.25,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,8,Cl8
STUDENT86,higher_education_students_performance,5,0.0,1.0,0.5,1.0,1.0,1.0,1.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.75,0.6666666666666666,4,5,Cl5
STUDENT87,higher_education_students_performance,5,0.5,1.0,0.5,0.75,1.0,1.0,1.0,0.0,1.0,0.3333333333333333,0.4,0.4,0.25,0.0,0.75,0.0,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.5,1.0,1.0,5,6,Cl6
STUDENT88,higher_education_students_performance,6,0.5,1.0,0.5,0.5,1.0,0.0,1.0,0.25,0.0,0.0,0.4,0.6,0.25,0.0,0.0,0.0,0.25,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.0,6,7,Cl7
STUDENT89,higher_education_students_performance,6,0.0,1.0,0.5,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.5,0.25,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.5,1.0,1.0,0.6666666666666666,6,7,Cl7
