alternative_id,dataset_id,g1,g2,g3,g4,g5,g6,g7,class_label,class_index
a60,mcs_mpg,0.4,0.196382,0.271739,0.626028,0.059524,0.416667,1.0,Cl2,2
a61,mcs_mpg,0.0,0.093023,0.195652,0.241282,0.815476,0.666667,1.0,Cl3,3
a62,mcs_mpg,0.0,0.095607,0.076087,0.69209,0.988095,0.25,0.0,Cl1,1
a63,mcs_mpg,1.0,0.02584,0.081522,0.313864,0.39881,0.166667,0.5,Cl2,2
a64,mcs_mpg,0.0,0.224806,0.016304,0.237596,0.60119,0.5,0.0,Cl1,1
a65,mcs_mpg,0.4,0.258398,0.521739,0.166997,0.27381,0.25,1.0,Cl2,2
a66,mcs_mpg,0.4,0.059432,0.826087,0.258577,0.363095,0.25,0.5,Cl2,2
a67,mcs_mpg,0.2,0.728682,0.076087,0.040261,0.202381,1.0,0.0,Cl1,1
a68,mcs_mpg,0.2,1.0,0.451087,0.754466,0.119048,0.083333,0.5,Cl2,2
a69,mcs_mpg,0.4,0.21447,0.309783,0.099802,0.244048,0.166667,1.0,Cl2,2
a70,mcs_mpg,0.6,0.136951,0.092391,0.217465,0.375,1.0,0.0,Cl1,1
a71,mcs_mpg,0.0,0.007752,0.01087,0.203289,0.642857,0.583333,1.0,Cl2,2
a72,mcs_mpg,0.4,0.139535,0.130435,0.264247,1.0,1.0,1.0,Cl3,3
a73,mcs_mpg,0.2,0.335917,0.880435,0.453076,0.583333,0.166667,0.5,Cl2,2
a74,mcs_mpg,0.2,0.007752,0.782609,0.289481,0.607143,0.666667,0.5,Cl2,2
a75,mcs_mpg,0.6,0.702842,0.282609,0.172101,0.458333,0.083333,0.0,Cl2,2
a76,mcs_mpg,0.2,0.514212,0.097826,0.383329,0.553571,0.0,1.0,Cl3,3
a77,mcs_mpg,0.6,0.103359,0.076087,0.3408,0.470238,0.333333,0.0,Cl1,1
a78,mcs_mpg,0.0,0.405685,0.233696,0.251489,0.630952,0.25,0.5,Cl2,2
a79,mcs_mpg,0.4,0.731266,0.472826,0.523391,0.369048,0.5,0.0,Cl2,2
a80,mcs_mpg,0.0,0.224806,0.538043,0.552878,0.416667,0.833333,0.5,Cl2,2
a81,mcs_mpg,0.0,0.118863,0.103261,0.286929,0.482143,0.166667,1.0,Cl2,2
a82,mcs_mpg,0.4,0.010336,0.972826,0.723561,0.821429,0.416667,0.0,Cl2,2
a83,mcs_mpg,1.0,0.136951,0.01087,0.119648,0.410714,0.5,0.0,Cl1,1
a84,mcs_mpg,1.0,0.932817,0.0,0.705132,0.434524,0.916667,1.0,Cl3,3
a85,mcs_mpg,1.0,0.22739,0.043478,0.152254,0.291667,0.333333,0.5,Cl2,2
a86,mcs_mpg,0.4,0.186047,0.565217,0.254607,0.357143,0.583333,0.0,Cl1,1
a87,mcs_mpg,0.2,0.010336,0.0,0.05302,0.14881,0.25,0.5,Cl1,1
a88,mcs_mpg,0.6,0.338501,0.119565,0.81911,0.47619,0.083333,1.0,Cl3,3
a89,mcs_mpg,0.2,0.258398,0.358696,0.289765,0.803571,0.666667,1.0,Cl3,3
a90,mcs_mpg,0.2,0.03876,0.402174,0.801531,0.625,0.0,0.5,Cl2,2
a91,mcs_mpg,0.2,0.093023,0.179348,0.647576,0.559524,0.166667,0.0,Cl1,1
a92,mcs_mpg,0.2,0.612403,0.038043,0.124185,0.029762,0.083333,0.0,Cl1,1
a93,mcs_mpg,0.2,0.136951,0.211957,0.885172,0.559524,0.916667,1.0,Cl3,3
a94,mcs_mpg,1.0,0.173127,0.483696,0.155089,0.452381,0.583333,0.0,Cl2,2
a95,mcs_mpg,0.4,0.731266,0.592391,0.101219,0.196429,0.666667,0.5,Cl2,2
a96,mcs_mpg,0.6,0.162791,0.190217,0.459314,0.654762,1.0,0.0,Cl2,2
a97,mcs_mpg,0.6,0.054264,0.554348,0.673377,0.422619,0.0,0.0,Cl1,1
a98,mcs_mpg,1.0,0.29199,0.728261,0.500992,0.0,0.083333,0.5,Cl2,2
a99,mcs_mpg,0.6,1.0,1.0,0.933655,0.244048,0.166667,0.5,Cl3,3
a100,mcs_mpg,0.0,0.335917,0.358696,0.101219,0.845238,0.833333,0.5,Cl2,2
a101,mcs_mpg,0.0,0.031008,0.293478,0.094131,0.636905,0.833333,0.0,Cl1,1
a102,mcs_mpg,0.0,0.160207,0.918478,0.163312,0.815476,0.083333,0.5,Cl2,2
a103,mcs_mpg,0.2,0.496124,0.016304,0.716473,0.196429,0.666667,0.0,Cl1,1
a104,mcs_mpg,0.2,0.18863,0.657609,0.540686,0.77381,0.75,0.5,Cl2,2
a105,mcs_mpg,0.6,0.043928,0.217391,0.237596,0.0,0.166667,1.0,Cl2,2
a106,mcs_mpg,0.6,0.095607,0.798913,0.271902,0.815476,0.583333,1.0,Cl3,3
a107,mcs_mpg,0.4,0.496124,1.0,0.874965,0.583333,0.5,0.0,Cl2,2
a108,mcs_mpg,0.0,0.271318,0.11413,0.367735,0.678571,0.833333,1.0,Cl3,3
a109,mcs_mpg,0.6,0.059432,0.065217,0.067196,0.666667,0.75,0.0,Cl1,1
a110,mcs_mpg,0.6,0.131783,0.228261,0.179189,0.464286,0.833333,1.0,Cl3,3
a111,mcs_mpg,0.0,0.170543,0.217391,0.315282,0.52381,0.666667,0.0,Cl1,1
a112,mcs_mpg,0.2,0.072351,0.206522,0.172952,0.446429,0.25,1.0,Cl2,2
a113,mcs_mpg,1.0,0.604651,0.157609,0.279841,0.35119,0.833333,0.5,Cl3,3
a114,mcs_mpg,0.6,0.21447,0.565217,0.716473,0.285714,0.5,1.0,Cl3,3
a115,mcs_mpg,1.0,0.100775,0.619565,0.153672,0.333333,0.416667,1.0,Cl3,3
a116,mcs_mpg,1.0,1.0,0.168478,0.648426,0.345238,0.083333,0.0,Cl2,2
a117,mcs_mpg,0.2,0.198966,0.559783,0.338531,0.77381,0.5,0.0,Cl2,2
a118,mcs_mpg,0.0,0.043928,0.592391,0.768925,0.577381,0.916667,0.0,Cl1,1
a119,mcs_mpg,0.4,0.490956,0.456522,0.737737,0.839286,0.416667,1.0,Cl3,3
a120,mcs_mpg,0.2,0.612403,0.521739,0.749646,0.60119,0.833333,1.0,Cl3,3
a121,mcs_mpg,0.6,0.612403,0.826087,0.382478,0.684524,0.083333,0.0,Cl2,2
a122,mcs_mpg,0.6,0.20155,0.375,0.3408,0.357143,1.0,1.0,Cl3,3
a123,mcs_mpg,0.2,0.22739,0.26087,0.10689,0.541667,0.333333,0.5,Cl2,2
a124,mcs_mpg,0.6,0.028424,0.081522,0.063227,0.827381,0.5,0.0,Cl1,1
a125,mcs_mpg,0.4,0.271318,0.429348,0.232776,0.720238,0.333333,0.0,Cl2,2
a126,mcs_mpg,0.2,0.054264,0.043478,0.567054,0.488095,0.083333,0.0,Cl1,1
a127,mcs_mpg,0.0,0.514212,0.701087,0.067196,0.434524,0.583333,0.5,Cl2,2
a128,mcs_mpg,0.2,0.103359,0.347826,0.469804,0.369048,0.166667,0.5,Cl1,1
a129,mcs_mpg,0.2,0.095607,0.521739,0.472073,0.755952,0.416667,0.0,Cl1,1
a130,mcs_mpg,0.4,0.043928,0.032609,0.0,0.678571,0.166667,0.5,Cl2,2
a131,mcs_mpg,0.2,0.010336,0.483696,0.493337,0.559524,0.166667,0.0,Cl1,1
a132,mcs_mpg,0.0,0.121447,0.293478,0.311313,0.39881,0.416667,0.5,Cl1,1
a133,mcs_mpg,0.4,0.224806,0.038043,0.279841,0.666667,1.0,0.5,Cl2,2
a134,mcs_mpg,0.0,0.059432,0.119565,0.166997,0.595238,0.916667,0.0,Cl1,1
a135,mcs_mpg,0.0,0.173127,0.097826,0.267366,0.357143,0.416667,0.5,Cl1,1
a136,mcs_mpg,0.6,0.754522,0.233696,0.754466,0.577381,0.416667,0.5,Cl3,3
a137,mcs_mpg,1.0,0.832041,0.0,0.203289,0.517857,0.5,0.0,Cl2,2
a138,mcs_mpg,0.2,0.617571,0.728261,0.085625,0.464286,0.5,1.0,Cl3,3
a139,mcs_mpg,0.2,0.031008,0.309783,0.289765,0.464286,0.833333,0.5,Cl2,2
a140,mcs_mpg,0.0,0.335917,0.826087,1.0,0.357143,0.916667,0.5,Cl2,2
a141,mcs_mpg,0.2,0.046512,0.255435,0.659768,0.595238,0.416667,1.0,Cl3,3
a142,mcs_mpg,1.0,0.093023,0.179348,0.495322,0.190476,0.666667,0.0,Cl1,1
a143,mcs_mpg,0.4,0.005168,0.271739,0.513751,0.690476,0.083333,0.0,Cl1,1
a144,mcs_mpg,0.4,0.198966,0.320652,0.417352,0.178571,0.5,0.5,Cl1,1
a145,mcs_mpg,0.0,0.02584,0.097826,0.188546,0.666667,0.0,1.0,Cl2,2
a146,mcs_mpg,0.0,0.136951,0.13587,0.145449,0.684524,0.916667,0.5,Cl2,2
a147,mcs_mpg,0.2,0.05168,0.782609,0.713354,0.333333,0.916667,0.0,Cl1,1
a148,mcs_mpg,0.6,0.085271,0.472826,0.099802,0.488095,0.416667,1.0,Cl3,3
a149,mcs_mpg,0.0,0.20155,0.413043,0.366033,0.190476,0.833333,0.5,Cl1,1
a150,mcs_mpg,0.4,0.033592,0.576087,0.221718,0.25,0.75,0.0,Cl1,1
a151,mcs_mpg,1.0,0.113695,0.51087,0.933655,0.214286,0.833333,0.5,Cl3,3
a152,mcs_mpg,1.0,0.604651,0.494565,0.577828,0.690476,0.416667,0.5,Cl3,3
a153,mcs_mpg,0.6,0.604651,0.163043,0.300255,0.339286,0.583333,0.0,Cl1,1
a154,mcs_mpg,0.2,0.813953,1.0,0.29827,0.595238,0.666667,0.0,Cl2,2
a155,mcs_mpg,0.4,0.02584,0.826087,0.24837,0.666667,0.833333,1.0,Cl3,3
a156,mcs_mpg,0.6,0.131783,0.168478,0.148001,0.488095,0.833333,0.0,Cl1,1
a157,mcs_mpg,1.0,0.186047,0.456522,0.085625,0.517857,0.75,1.0,Cl3,3
a158,mcs_mpg,1.0,0.108527,0.565217,0.51687,0.369048,0.0,0.0,Cl2,2
a159,mcs_mpg,0.4,0.609819,0.222826,0.311313,0.345238,0.0,1.0,Cl3,3
a160,mcs_mpg,0.2,0.108527,0.255435,0.223419,0.434524,0.75,1.0,Cl2,2
a161,mcs_mpg,0.0,0.96124,0.945652,0.648426,0.345238,0.916667,1.0,Cl3,3
a162,mcs_mpg,0.4,0.05168,0.483696,0.338531,0.47619,0.083333,0.0,Cl1,1
a163,mcs_mpg,1.0,0.405685,0.125,0.144882,0.089286,0.416667,0.0,Cl1,1
a164,mcs_mpg,0.0,0.095607,0.592391,0.051602,0.208333,0.0,1.0,Cl2,2
a165,mcs_mpg,0.0,0.26615,0.836957,0.320953,0.5,0.083333,0.0,Cl1,1
a166,mcs_mpg,0.0,0.031008,0.217391,0.589736,0.755952,0.5,0.0,Cl1,1
a167,mcs_mpg,0.4,0.245478,0.038043,0.516019,0.285714,0.916667,1.0,Cl2,2
a168,mcs_mpg,0.6,0.093023,0.217391,0.778849,0.446429,0.416667,0.0,Cl1,1
a169,mcs_mpg,1.0,0.702842,0.494565,0.581514,0.190476,0.666667,1.0,Cl3,3
a170,mcs_mpg,1.0,0.245478,0.152174,0.092713,0.630952,0.666667,0.0,Cl2,2
a171,mcs_mpg,0.0,0.470284,0.375,0.613553,0.5,0.916667,0.0,Cl1,1
a172,mcs_mpg,0.2,0.604651,0.646739,0.778849,0.934524,0.416667,1.0,Cl3,3
a173,mcs_mpg,0.4,0.501292,0.282609,0.105472,0.452381,0.083333,1.0,Cl3,3
a174,mcs_mpg,0.6,1.0,0.375,0.437199,0.607143,0.0,0.5,Cl3,3
a175,mcs_mpg,0.0,0.645995,1.0,0.354976,0.059524,0.166667,0.5,Cl1,1
a176,mcs_mpg,0.2,0.108527,0.130435,0.379076,0.821429,0.25,0.5,Cl2,2
a177,mcs_mpg,0.2,0.059432,0.11413,0.493337,0.77381,0.833333,0.0,Cl1,1
a178,mcs_mpg,0.0,0.095607,0.190217,0.130706,0.059524,0.333333,1.0,Cl1,1
a179,mcs_mpg,0.2,0.02584,0.043478,0.704565,0.363095,1.0,0.0,Cl1,1
a180,mcs_mpg,0.4,0.496124,0.217391,0.335129,0.27381,0.916667,0.5,Cl2,2
a181,mcs_mpg,0.6,0.100775,0.032609,0.468103,0.678571,0.833333,1.0,Cl3,3
a182,mcs_mpg,0.6,0.118863,0.559783,0.515169,0.452381,0.416667,0.0,Cl1,1
a183,mcs_mpg,1.0,0.113695,0.190217,0.345903,0.440476,0.25,0.5,Cl2,2
a184,mcs_mpg,0.0,0.18863,0.190217,0.258577,0.059524,0.416667,1.0,Cl1,1
a185,mcs_mpg,0.4,0.470284,0.467391,0.306493,0.25,0.416667,0.5,Cl2,2
a186,mcs_mpg,0.4,0.20155,0.619565,0.737737,0.363095,0.916667,0.0,Cl1,1
a187,mcs_mpg,0.2,0.997416,0.163043,0.179189,0.827381,0.166667,0.5,Cl3,3
a188,mcs_mpg,0.0,0.077519,0.581522,0.072016,0.440476,0.333333,0.5,Cl1,1
a189,mcs_mpg,0.0,0.245478,0.413043,0.17607,0.244048,0.916667,1.0,Cl2,2
a190,mcs_mpg,1.0,0.170543,0.043478,0.208959,0.244048,1.0,1.0,Cl3,3
a191,mcs_mpg,0.4,0.501292,0.336957,0.397505,0.291667,0.833333,0.5,Cl2,2
a192,mcs_mpg,0.6,0.421189,0.119565,0.163312,0.458333,0.916667,0.5,Cl2,2
a193,mcs_mpg,0.2,0.258398,0.130435,0.739155,0.827381,0.916667,0.5,Cl3,3
a194,mcs_mpg,0.2,0.028424,0.13587,0.352141,0.422619,0.416667,0.0,Cl1,1
a195,mcs_mpg,0.0,0.116279,0.043478,0.225404,0.434524,0.333333,0.0,Cl1,1
a196,mcs_mpg,0.0,0.162791,0.358696,0.232776,0.625,0.583333,1.0,Cl2,2
a197,mcs_mpg,0.6,0.612403,0.141304,0.21463,0.690476,1.0,1.0,Cl3,3
a198,mcs_mpg,0.0,0.423773,0.581522,0.513751,0.416667,0.833333,0.5,Cl2,2
a199,mcs_mpg,0.0,0.645995,0.782609,0.2685,0.625,0.166667,1.0,Cl3,3
a200,mcs_mpg,0.6,0.136951,0.559783,0.659768,0.571429,0.916667,0.5,Cl3,3
a201,mcs_mpg,0.0,0.932817,0.402174,0.277573,0.214286,0.333333,0.0,Cl1,1
a202,mcs_mpg,0.4,0.196382,0.141304,0.193365,0.285714,0.75,0.0,Cl1,1
a203,mcs_mpg,0.4,0.095607,0.972826,0.171817,0.428571,0.333333,0.5,Cl2,2
a204,mcs_mpg,0.2,0.033592,0.092391,0.333428,0.363095,0.583333,0.5,Cl1,1
a205,mcs_mpg,0.6,0.111111,0.309783,0.278424,0.428571,0.0,1.0,Cl3,3
a206,mcs_mpg,0.0,0.054264,0.505435,0.501276,0.625,0.75,0.0,Cl1,1
a207,mcs_mpg,0.4,0.612403,0.0,0.158208,0.244048,0.5,1.0,Cl2,2
a208,mcs_mpg,0.0,0.056848,0.494565,0.276155,0.690476,0.916667,1.0,Cl3,3
a209,mcs_mpg,1.0,0.857881,0.184783,0.172101,0.089286,0.666667,1.0,Cl3,3
a210,mcs_mpg,1.0,0.093023,0.141304,0.133825,0.291667,0.833333,1.0,Cl3,3
a211,mcs_mpg,0.0,0.056848,0.163043,0.650411,0.52381,0.0,1.0,Cl2,2
a212,mcs_mpg,1.0,0.170543,0.217391,0.81911,0.297619,1.0,0.0,Cl2,2
a213,mcs_mpg,0.0,0.245478,0.673913,0.458463,0.434524,0.583333,0.0,Cl1,1
a214,mcs_mpg,0.6,0.501292,0.358696,0.365183,0.625,1.0,0.5,Cl3,3
a215,mcs_mpg,0.6,0.196382,0.038043,0.459314,0.440476,0.083333,0.5,Cl2,2
a216,mcs_mpg,0.2,0.617571,0.918478,0.143748,0.517857,0.5,0.0,Cl1,1
a217,mcs_mpg,0.6,0.731266,0.619565,0.543521,0.60119,1.0,1.0,Cl3,3
a218,mcs_mpg,1.0,0.609819,0.320652,0.366033,0.678571,0.75,0.5,Cl3,3
a219,mcs_mpg,0.2,0.173127,0.081522,0.095549,0.178571,0.75,0.0,Cl1,1
a220,mcs_mpg,0.0,0.113695,0.619565,0.163595,0.547619,0.75,0.5,Cl2,2
a221,mcs_mpg,0.6,0.031008,0.25,0.523391,0.363095,0.083333,0.5,Cl2,2
a222,mcs_mpg,0.4,0.29199,0.592391,0.062659,0.559524,0.583333,0.0,Cl1,1
a223,mcs_mpg,1.0,0.258398,0.25,0.383329,0.988095,0.416667,1.0,Cl3,3
a224,mcs_mpg,0.6,0.170543,0.429348,0.122484,0.60119,0.833333,0.0,Cl2,2
a225,mcs_mpg,0.6,0.612403,0.032609,0.148001,0.208333,0.5,0.5,Cl2,2
a226,mcs_mpg,0.2,0.162791,0.945652,0.105472,0.059524,0.833333,0.5,Cl1,1
a227,mcs_mpg,0.4,0.21447,0.451087,0.500992,0.571429,0.583333,1.0,Cl3,3
a228,mcs_mpg,0.2,0.421189,0.581522,0.874965,0.297619,0.166667,1.0,Cl3,3
a229,mcs_mpg,0.4,0.031008,0.483696,0.301956,0.571429,0.916667,1.0,Cl3,3
a230,mcs_mpg,0.6,0.010336,0.467391,0.703998,0.345238,0.833333,0.5,Cl2,2
a231,mcs_mpg,0.4,0.617571,0.36413,0.323788,0.357143,0.166667,1.0,Cl3,3
a232,mcs_mpg,0.2,0.335917,0.277174,0.785937,0.613095,0.333333,0.0,Cl1,1
a233,mcs_mpg,0.4,0.335917,0.038043,0.24355,0.452381,0.916667,1.0,Cl3,3
a234,mcs_mpg,0.6,0.121447,0.836957,0.506379,0.327381,0.333333,0.0,Cl1,1
a235,mcs_mpg,0.2,0.341085,0.36413,0.191948,0.345238,0.916667,0.0,Cl1,1
a236,mcs_mpg,0.6,0.754522,0.086957,0.862206,0.547619,0.083333,1.0,Cl3,3
a237,mcs_mpg,0.6,0.18863,0.190217,0.217182,0.416667,0.166667,1.0,Cl3,3
a238,mcs_mpg,0.4,0.162791,0.13587,0.856252,0.511905,0.0,0.0,Cl1,1
a239,mcs_mpg,1.0,0.609819,0.130435,0.150836,0.208333,0.083333,0.5,Cl2,2
a240,mcs_mpg,0.2,0.136951,0.347826,0.500992,0.285714,1.0,1.0,Cl2,2
a241,mcs_mpg,1.0,0.341085,0.11413,0.554862,0.410714,0.166667,0.5,Cl3,3
a242,mcs_mpg,0.4,0.095607,0.043478,0.072016,0.595238,0.083333,0.5,Cl2,2
a243,mcs_mpg,0.2,0.470284,0.233696,0.716756,0.60119,0.166667,1.0,Cl3,3
a244,mcs_mpg,0.2,0.26615,0.190217,0.700028,0.720238,1.0,1.0,Cl3,3
a245,mcs_mpg,0.0,0.170543,0.413043,0.115112,0.625,0.5,0.0,Cl1,1
a246,mcs_mpg,0.0,0.26615,0.358696,0.730649,0.5,0.416667,0.5,Cl2,2
a247,mcs_mpg,0.6,0.224806,0.266304,0.119648,0.827381,0.916667,0.0,Cl2,2
a248,mcs_mpg,0.6,0.857881,0.277174,0.223419,0.27381,1.0,0.0,Cl2,2
a249,mcs_mpg,0.2,0.170543,0.413043,0.167848,0.35119,0.416667,0.5,Cl1,1
a250,mcs_mpg,0.2,0.139535,0.190217,0.583782,0.059524,1.0,0.0,Cl1,1
a251,mcs_mpg,1.0,0.031008,0.483696,0.716756,0.404762,1.0,0.0,Cl2,2
a252,mcs_mpg,1.0,0.423773,0.375,0.866175,0.375,0.833333,0.0,Cl2,2
a253,mcs_mpg,1.0,0.108527,0.130435,0.128154,0.119048,0.166667,0.5,Cl2,2
a254,mcs_mpg,1.0,0.103359,0.36413,0.51772,0.089286,1.0,1.0,Cl3,3
a255,mcs_mpg,0.0,0.198966,0.559783,0.217182,0.39881,0.166667,1.0,Cl2,2
a256,mcs_mpg,0.4,0.258398,0.608696,0.7556,0.089286,0.083333,0.0,Cl1,1
a257,mcs_mpg,0.6,0.124031,0.233696,0.785086,0.755952,0.166667,0.5,Cl3,3
a258,mcs_mpg,0.0,1.0,0.282609,0.085625,0.369048,0.75,0.0,Cl1,1
a259,mcs_mpg,1.0,0.005168,0.521739,0.783385,0.77381,0.416667,0.0,Cl3,3
a260,mcs_mpg,1.0,0.031008,0.505435,0.478877,0.589286,0.833333,0.5,Cl3,3
a261,mcs_mpg,0.6,0.139535,0.228261,0.397505,0.505952,0.0,1.0,Cl3,3
a262,mcs_mpg,1.0,0.421189,0.038043,0.208959,0.25,0.75,0.0,Cl1,1
a263,mcs_mpg,0.4,0.116279,0.201087,0.166997,0.410714,0.666667,0.5,Cl2,2
a264,mcs_mpg,1.0,0.056848,0.163043,0.289481,0.327381,0.25,0.5,Cl2,2
a265,mcs_mpg,0.6,0.338501,0.173913,0.062943,0.613095,0.833333,1.0,Cl3,3
a266,mcs_mpg,0.0,0.056848,0.211957,0.469804,0.708333,0.25,0.5,Cl2,2
a267,mcs_mpg,0.2,0.338501,0.032609,0.225404,0.625,0.333333,1.0,Cl3,3
a268,mcs_mpg,0.2,0.100775,0.103261,0.884321,0.422619,0.583333,1.0,Cl3,3
a269,mcs_mpg,1.0,0.297158,0.836957,0.388716,0.482143,0.083333,0.5,Cl3,3
a270,mcs_mpg,1.0,0.754522,0.782609,0.102637,0.738095,0.5,1.0,Cl3,3
a271,mcs_mpg,0.6,0.043928,0.467391,0.715055,1.0,0.666667,0.5,Cl3,3
a272,mcs_mpg,0.4,0.085271,0.038043,0.158208,0.363095,0.75,1.0,Cl2,2
a273,mcs_mpg,0.2,0.043928,0.038043,0.438049,0.297619,0.166667,1.0,Cl2,2
a274,mcs_mpg,0.4,0.028424,0.092391,0.796428,0.720238,0.5,0.0,Cl2,2
a275,mcs_mpg,1.0,0.054264,0.076087,0.129572,0.821429,0.5,1.0,Cl3,3
