alternative_id,dataset_id,g1,g2,g3,g4,g5,g6,g7,g8,class_label,class_index
a76,mcs_dbs,1.0,0.0,0.833333,0.6,0.30814,0.0,0.666667,0.0,Cl1,1
a77,mcs_dbs,0.666667,0.452326,0.833333,0.8,0.165698,0.0,1.0,0.5,Cl2,2
a78,mcs_dbs,0.333333,0.47093,0.166667,0.0,0.174419,1.0,0.666667,0.0,Cl1,1
a79,mcs_dbs,1.0,0.094186,1.0,0.0,0.19186,0.0,0.666667,0.0,Cl1,1
a80,mcs_dbs,1.0,0.068605,0.666667,0.6,0.273256,0.5,0.0,0.0,Cl1,1
a81,mcs_dbs,0.666667,0.960465,1.0,0.8,0.186047,1.0,0.666667,0.0,Cl2,2
a82,mcs_dbs,1.0,0.145349,0.166667,0.0,0.090116,1.0,0.333333,1.0,Cl1,1
a83,mcs_dbs,1.0,0.447674,1.0,0.8,0.142442,0.5,0.333333,0.5,Cl2,2
a84,mcs_dbs,1.0,0.960465,1.0,0.6,0.005814,0.0,0.0,0.5,Cl2,2
a85,mcs_dbs,0.333333,0.154651,0.0,1.0,0.133721,1.0,0.333333,1.0,Cl2,2
a86,mcs_dbs,0.666667,0.447674,0.333333,0.8,0.200581,1.0,0.0,0.5,Cl2,2
a87,mcs_dbs,1.0,0.125581,0.166667,0.8,0.476744,1.0,0.333333,0.0,Cl2,2
a88,mcs_dbs,0.0,0.674419,0.166667,1.0,0.133721,0.5,0.0,1.0,Cl2,2
a89,mcs_dbs,0.0,0.018605,1.0,0.4,0.148256,1.0,1.0,0.5,Cl1,1
a90,mcs_dbs,0.333333,0.126744,0.833333,0.8,0.139535,0.0,1.0,1.0,Cl2,2
a91,mcs_dbs,0.0,0.183721,0.5,0.4,0.30814,1.0,0.333333,0.0,Cl1,1
a92,mcs_dbs,0.666667,0.032558,0.666667,0.6,0.049419,0.5,0.666667,0.0,Cl1,1
a93,mcs_dbs,0.666667,0.184884,0.0,0.6,0.011628,0.5,0.333333,1.0,Cl2,2
a94,mcs_dbs,0.333333,0.072093,0.5,1.0,0.186047,0.5,0.0,0.5,Cl2,2
a95,mcs_dbs,0.0,0.065116,1.0,0.6,0.093023,0.0,0.333333,0.5,Cl1,1
a96,mcs_dbs,1.0,0.297674,0.333333,0.6,0.19186,1.0,0.0,1.0,Cl2,2
a97,mcs_dbs,1.0,0.209302,0.0,0.0,0.110465,1.0,1.0,1.0,Cl1,1
a98,mcs_dbs,0.0,0.098837,0.833333,1.0,1.0,1.0,0.333333,0.0,Cl2,2
a99,mcs_dbs,1.0,0.452326,0.0,0.4,0.081395,0.0,0.666667,0.5,Cl2,2
a100,mcs_dbs,1.0,0.253488,0.5,0.6,0.313953,1.0,1.0,0.5,Cl2,2
a101,mcs_dbs,0.0,0.005814,0.333333,0.0,0.145349,0.0,1.0,1.0,Cl1,1
a102,mcs_dbs,0.666667,0.5,0.5,0.6,0.273256,0.5,0.666667,0.0,Cl2,2
a103,mcs_dbs,0.333333,0.253488,0.833333,0.4,0.796512,0.0,1.0,0.0,Cl1,1
a104,mcs_dbs,0.666667,0.084884,0.0,1.0,0.162791,0.0,1.0,0.0,Cl1,1
a105,mcs_dbs,0.666667,0.27907,0.833333,0.8,0.034884,0.5,0.666667,0.5,Cl2,2
a106,mcs_dbs,1.0,0.415116,0.666667,0.6,0.02907,0.5,1.0,0.5,Cl2,2
a107,mcs_dbs,0.666667,0.173256,0.0,0.4,0.040698,0.0,0.666667,0.0,Cl1,1
a108,mcs_dbs,1.0,0.003488,1.0,0.4,0.049419,0.0,0.0,0.0,Cl1,1
a109,mcs_dbs,0.333333,0.223256,1.0,0.0,0.110465,0.0,0.0,1.0,Cl1,1
a110,mcs_dbs,0.333333,0.218605,0.0,0.4,0.005814,0.0,0.0,0.5,Cl1,1
a111,mcs_dbs,1.0,0.276744,0.166667,1.0,0.078488,0.5,0.333333,0.0,Cl2,2
a112,mcs_dbs,1.0,0.753488,0.0,0.8,0.113372,0.0,1.0,0.0,Cl2,2
a113,mcs_dbs,0.333333,0.184884,1.0,0.6,0.093023,0.0,0.666667,0.5,Cl2,2
a114,mcs_dbs,0.333333,0.447674,0.0,1.0,0.061047,0.5,1.0,0.5,Cl2,2
a115,mcs_dbs,0.666667,0.47093,1.0,0.2,0.090116,1.0,0.0,1.0,Cl2,2
a116,mcs_dbs,1.0,0.093023,0.166667,0.2,0.139535,1.0,0.333333,0.0,Cl1,1
a117,mcs_dbs,0.333333,0.151163,0.833333,0.8,0.02907,0.5,1.0,1.0,Cl2,2
a118,mcs_dbs,0.666667,0.184884,0.666667,0.6,0.052326,0.5,1.0,1.0,Cl2,2
a119,mcs_dbs,1.0,0.297674,0.666667,1.0,0.072674,0.5,0.333333,0.0,Cl2,2
a120,mcs_dbs,1.0,0.213953,0.166667,1.0,0.276163,0.0,1.0,0.0,Cl2,2
